Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config
BM800,Device,Capture,USB PnP Sound Device,Capture,Capture,Capture,Active,No,23.81 dB,100.0%,0.00 dB,23.81 dB,0.19 dB,1,23.81 dB,100.0%,{0.0.1.00000000}.{0c62f88f-c8f5-48e6-8d69-13fa7461016c},USB PnP Sound Device\Device\BM800\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{0c62f88f-c8f5-48e6-8d69-13fa7461016c},
Discord,Application,Render,USB Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05}|\Device\HarddiskVolume6\Users\makzu\AppData\Local\Discord\app-1.0.9171\Discord.exe%b{00000000-0000-0000-0000-000000000000}|4%b10396,USB Audio Device\Application\Discord,C:\Users\makzu\AppData\Local\Discord\app-1.0.9171\Discord.exe,10396,,,
Discord,Application,Render,USB Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05}|\Device\HarddiskVolume6\Users\makzu\AppData\Local\Discord\app-1.0.9171\Discord.exe%b{00000000-0000-0000-0000-000000000000}|4%b7492,USB Audio Device\Application\Discord,C:\Users\makzu\AppData\Local\Discord\app-1.0.9171\Discord.exe,7492,,,
Google Chrome,Application,Render,USB Audio Device,,,,Active,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05}|\Device\HarddiskVolume6\Program Files\Google\Chrome\Application\chrome.exe%b{00000000-0000-0000-0000-000000000000}|4%b5836,USB Audio Device\Application\Google Chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,5836,,,
parsecd.exe,Application,Render,USB Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05}|%b{00000000-0000-0000-0000-000000000000}|4%b540,USB Audio Device\Application\parsecd.exe,parsecd.exe,540,,,
PowerToys,Application,Render,USB Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05}|\Device\HarddiskVolume6\Users\makzu\AppData\Local\PowerToys\PowerToys.AlwaysOnTop.exe%b{00000000-0000-0000-0000-000000000000}|4%b14784,USB Audio Device\Application\PowerToys,C:\Users\makzu\AppData\Local\PowerToys\PowerToys.AlwaysOnTop.exe,14784,,,
Steam,Application,Render,USB Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05}|\Device\HarddiskVolume2\Program Files (x86)\Steam\steam.exe%b{00000000-0000-0000-0000-000000000000}|4%b12492,USB Audio Device\Application\Steam,E:\Program Files (x86)\Steam\steam.exe,12492,,,
Steam,Application,Capture,USB PnP Sound Device,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{0c62f88f-c8f5-48e6-8d69-13fa7461016c}|\Device\HarddiskVolume2\Program Files (x86)\Steam\steam.exe%b{00000000-0000-0000-0000-000000000000}|4%b12492,USB PnP Sound Device\Application\Steam,E:\Program Files (x86)\Steam\steam.exe,12492,,,
System Sounds,Application,Capture,ASUS Utility,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{1feaf3de-1c17-474c-b79c-f1705b4fd98f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,ASUS Utility\Application\System Sounds,,,,,
System Sounds,Application,Capture,USB Audio Device,,,,Inactive,Yes,,0.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{c81a9ab4-ea0d-40af-af14-44f65787fa9c}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,USB Audio Device\Application\System Sounds,,,,,
System Sounds,Application,Capture,Steam Streaming Speakers,,,,Inactive,Yes,,0.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{edcbb019-c2d6-4ed7-a9c0-366022d50250}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Steam Streaming Speakers\Application\System Sounds,,,,,
System Sounds,Application,Capture,USB PnP Sound Device,,,,Inactive,Yes,,0.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{0c62f88f-c8f5-48e6-8d69-13fa7461016c}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,USB PnP Sound Device\Application\System Sounds,,,,,
System Sounds,Application,Capture,Steam Streaming Microphone,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{f44d6be9-9016-4072-83b0-8df07726bc07}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Steam Streaming Microphone\Application\System Sounds,,,,,
System Sounds,Application,Capture,Tornado TWS Hands-Free AG Audio,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{34940fef-4fc0-49f5-b869-39a35ce08f25}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Tornado TWS Hands-Free AG Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,Steam Streaming Microphone,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{a9074e7f-4356-47bb-be89-8731c952137b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Steam Streaming Microphone\Application\System Sounds,,,,,
System Sounds,Application,Render,ASUS Utility,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{79b21f6f-21ea-4b16-a504-f49d48cd033e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,ASUS Utility\Application\System Sounds,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{41dd5cc4-6f85-4735-82f5-3bd8c443c6a8}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Realtek(R) Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,Tornado TWS Stereo,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{3e77ffd8-09f2-4e88-ae69-2761c67ecd95}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Tornado TWS Stereo\Application\System Sounds,,,,,
System Sounds,Application,Render,ASUS Utility,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{276f38cc-5c14-4c88-8194-0f409d12c28b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,ASUS Utility\Application\System Sounds,,,,,
System Sounds,Application,Render,USB Audio Device,,,,Inactive,No,,3.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,USB Audio Device\Application\System Sounds,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{4435d0c8-9ba6-490f-8fae-5db4ce6022f8}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Realtek(R) Audio\Application\System Sounds,,,,,
System Sounds,Application,Capture,ASUS Utility,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{39c0f32d-4bef-4f34-b7b2-fe1efd84968f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,ASUS Utility\Application\System Sounds,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{f4c4373c-daf2-4b14-b10f-fa14d34eed1f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Realtek(R) Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,Steam Streaming Speakers,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{b2f1a0b2-bcf0-4feb-8d93-67b85f334e80}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Steam Streaming Speakers\Application\System Sounds,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,Yes,,0.0%,,,0.00 dB,4,,"100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{6461caee-4713-410b-b9f6-218e3e8104ff}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Realtek(R) Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,Yes,,0.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{e605d489-5324-4bc5-952f-180a89936d2b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|4%b#,Realtek(R) Audio\Application\System Sounds,,,,,
ushi,Device,Render,USB Audio Device,Render,Render,Render,Active,No,-20.96 dB,18.0%,-37.00 dB,0.00 dB,1.00 dB,2,"-20.96 dB, -20.96 dB","18.0%, 18.0%",{0.0.0.00000000}.{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05},USB Audio Device\Device\ushi\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{0a8e6599-f5d0-4237-a9dc-c30eb9b6fc05},0x3 0x3 0x3
Громкость,Subunit,Capture,USB PnP Sound Device,,,,,Yes,,0.0%,0.00 dB,23.81 dB,0.19 dB,1,0.00 dB,0.0%,{2}.\\?\usb#vid_08bb&pid_2902&mi_00#7&2229ed6d&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020007,USB PnP Sound Device\Subunit\Громкость,,,,,
Громкость,Subunit,Capture,USB PnP Sound Device,,,,,No,,100.0%,0.00 dB,23.81 dB,0.19 dB,1,23.81 dB,100.0%,{2}.\\?\usb#vid_08bb&pid_2902&mi_00#7&2229ed6d&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020004,USB PnP Sound Device\Subunit\Громкость,,,,,
